row,ragione_sociale,partita_iva,settore_raw,settore_mapped,result,tenant_id,message
2,"ADI S.C.A.R.L.",07081900826,"Sanità - Assistenza Domiciliare",sanita,dry_run_would_create,,"OK (dry-run)"
3,"GRUTTADAURIA & CONSIGLIO AGRO DISTRIBUZIONI S.R.L.",02004970857,Agroalimentare,alimentare,dry_run_would_create,,"OK (dry-run)"
4,"AGRUMI-GEL S.R.L.",01549800835,Agroalimentare,alimentare,dry_run_would_create,,"OK (dry-run)"
5,"ANALISI CLINICHE AMENTA S.R.L.",02231080819,"Sanità - Analisi Cliniche",sanita,dry_run_would_create,,"OK (dry-run)"
6,"Università degli Studi di Catania - APSEMA",02772010878,Progettazione/Manutenzione,consulenza,dry_run_would_create,,"OK (dry-run)"
7,"ARA DI MASCAGNI ROSA",02342250871,"Servizi - Disinfestazione",servizi,dry_run_would_create,,"OK (dry-run)"
8,"Associazione Santantonese per la Lotta ai Tumori ONLUS",90007190870,"Associazione Sanitaria",sanita,dry_run_would_create,,"OK (dry-run)"
9,"Bioalmondsicilia S.r.l.",05627680878,Agroalimentare,alimentare,dry_run_would_create,,"OK (dry-run)"
10,"CASA ANNUNZIATA - Comunità Papa Giovanni XXIII",01433850409,"Servizi Sociali",servizi,skipped_duplicate,29,"Tenant già presente (Partita IVA)"
11,"CONAL FOOD S.R.L.",03731020792,Agroalimentare,alimentare,dry_run_would_create,,"OK (dry-run)"
12,"Consorzio Stabile Socio-Sanitario Aretuseo (Con.So.Sar) - Società Cooperativa Sociale",01799990898,"Servizi Socio-Sanitari",sanita,dry_run_would_create,,"OK (dry-run)"
13,"DNV BUSINESS ASSURANCE ITALY S.R.L.",00820340966,"Ente Certificazione",altro,dry_run_would_create,,"OK (dry-run)"
14,"EUCI EUROPEAN CERTIFICATION INSTITUTE LTD",01726450933,"Ente Certificazione",altro,dry_run_would_create,,"OK (dry-run)"
15,"THE GUARDIAN S.R.L.",04664030873,Vigilanza,servizi,dry_run_would_create,,"OK (dry-run)"
16,"Laboratorio Analisi ""Il Nucleo"" della dr.ssa Marianna Signore & C. s.a.s.",01158460863,"Sanità - Laboratorio Analisi",sanita,dry_run_would_create,,"OK (dry-run)"
17,"LABORATORIO DI ANALISI MONTEPERGOLA S.R.L.",01999650649,"Sanità - Laboratorio Analisi",sanita,dry_run_would_create,,"OK (dry-run)"
18,"MEDTEC S.R.L.",04914270873,"Sanità - Articoli Medicali",sanita,dry_run_would_create,,"OK (dry-run)"
19,"MILLESERVIZI S.R.L.",03800200796,Multiservizi,servizi,dry_run_would_create,,"OK (dry-run)"
20,"CENTRO CLINICO E DIAGNOSTICO G.B. MORGAGNI S.R.L. (Policlinico Morgagni)",00248620874,"Sanità - Policlinico/Diagnostica",sanita,dry_run_would_create,,"OK (dry-run)"
21,"Ortogel S.p.A.",00678650870,Agroalimentare,alimentare,dry_run_would_create,,"OK (dry-run)"
22,"AZIENDA OSPEDALIERA PAPARDO",03051880833,"Sanità - Ospedale",sanita,dry_run_would_create,,"OK (dry-run)"
23,"PL3 & PARTNERS S.R.L.",04618690962,"Consulenza IT",consulenza,dry_run_would_create,,"OK (dry-run)"
24,"Riabilia di Luigi Barillaro & C. S.r.l.",01374620803,"Sanità - Riabilitazione",sanita,dry_run_would_create,,"OK (dry-run)"
25,"RINA S.p.A.",03794120109,"Ente Certificazione",altro,dry_run_would_create,,"OK (dry-run)"
26,"ROMOLO HOSPITAL S.R.L.",02056980796,"Sanità - Ospedale",sanita,dry_run_would_create,,"OK (dry-run)"
27,"Salus Mangialavori S.r.l.",02010240790,"Sanità - Analisi Cliniche",sanita,dry_run_would_create,,"OK (dry-run)"
28,"SOLVING ENGINEERING S.R.L.",03193640806,Ingegneria,consulenza,dry_run_would_create,,"OK (dry-run)"
29,"STIMA S.R.L.",03695410872,"Vending - Distributori automatici",altro,dry_run_would_create,,"OK (dry-run)"
30,"SUPER LAP S.R.L.S.",05973000879,"Commercio Autoveicoli",commercio,dry_run_would_create,,"OK (dry-run)"
31,"VENUSLAB s.a.s. di Curinga Giuseppe & C.",02610700805,Servizi,servizi,dry_run_would_create,,"OK (dry-run)"
32,"Comunità Terapeutica Assistita Villa Chiara S.r.l.",02228000879,"Sanità - Riabilitazione Psichiatrica",sanita,dry_run_would_create,,"OK (dry-run)"
